user,comments_on_posts_that_trolls_commented,comments_on_posts_that_trolls_started,direct_comment_reply_to_troll_post,thread_comment_reply_to_troll_comments,thread_comment_reply_to_troll_comments_in_troll_post,same_title_post_as_troll,total_comments,total_submissions,age
1,6,1,1,0,0,0,814,3,5
2,2,1,0,0,0,0,578,27,5
3,0,11,1,0,0,0,41,2,6
4,0,0,0,0,0,28,753,2248,6
5,0,3,1,0,0,0,7823,125,5
6,4,4,0,0,0,1,1694,140,6
7,0,1,0,0,0,0,744,120,6
8,0,4,0,0,0,0,972,19,4
9,7,3,0,0,0,0,9833,51,6
10,5,1,1,0,0,0,6837,494,11
11,0,1,0,0,0,0,519,80,5
12,5,1,0,0,0,0,288,0,6
13,5,1,0,0,0,0,7506,47,5
14,1,1,1,0,0,0,1011,574,6
15,21,2,0,0,0,0,9242,120,5
16,5,1,1,0,0,0,3754,472,11
17,4,1,1,0,0,0,1319,18,5
18,14,1,1,0,0,0,24674,1033,11
19,3,1,0,0,0,0,784,2,5
20,0,1,1,0,0,0,259,23,6
21,0,1,1,0,0,0,221,19,8
22,4,1,0,0,0,0,3053,8,6
23,0,1,1,0,0,0,1,0,4
24,1,1,0,0,0,0,693,3,5
25,3,2,1,0,0,0,1415,49,5
26,10,0,0,0,0,1,9100,643,6
27,49,3,0,1,0,0,20452,129,5
28,0,1,0,0,0,0,1142,120,5
29,2,1,0,0,0,0,1259,375,5
30,15,7,7,1,1,0,8965,2,6
31,0,0,0,0,0,7,416,642,5
32,1,1,1,0,0,0,4255,174,6
33,36,8,1,0,0,0,14122,16,7
34,1,1,1,0,0,1,1748,242,4
35,0,0,0,0,0,4,4934,346,5
36,10,1,0,0,0,0,6523,44,6
37,6,1,1,0,0,0,4057,29,5
38,9,2,0,0,0,0,4963,27,6
39,13,2,0,0,0,0,5821,267,5
40,2,2,0,0,0,0,9991,45,5
41,2,1,0,0,0,0,2495,1,5
42,0,2,1,0,0,0,440,4,5
43,1,1,1,0,0,0,4148,57,4
44,9,1,0,0,0,0,7025,293,5
45,0,3,0,0,0,0,3062,0,4
46,0,1,1,0,0,0,68,7,6
47,0,1,0,0,0,0,1931,13,7
48,0,1,0,0,0,0,1524,74,5
49,7,2,0,0,0,0,2760,10,6
50,0,1,1,0,0,0,99,29,5
51,5,1,1,0,0,0,7371,110,11
52,2,1,0,0,0,0,4861,12,5
53,5,1,0,0,0,0,3851,42,6
54,1,1,0,0,0,0,2496,58,5
55,37,2,1,1,0,0,38150,287,5
56,1,1,0,0,0,0,5374,345,5
57,1,1,1,0,0,0,407,45,4
58,0,1,0,0,0,0,38,0,4
59,13,0,0,0,0,1,8820,137,5
60,1,1,0,0,0,1,609,13,4
61,0,0,0,0,0,1,1367,151,5
62,2,2,0,0,0,0,994,32,4
63,3,2,0,0,0,0,1276,32,5
64,3,1,0,0,0,2,6116,248,5
65,1,1,1,0,0,0,28,4,5
66,14,1,0,0,0,0,25791,297,5
67,0,0,0,0,0,6,217,549,6
68,6,1,1,0,0,0,3165,126,5
69,0,1,0,0,0,0,1656,59,5
70,5,4,2,0,0,0,11642,509,5
71,3,1,0,0,0,0,2795,132,5
72,0,1,0,0,0,0,780,5,5
73,0,1,1,0,0,0,5422,460,5
74,0,1,1,0,0,0,592,46,5
75,4,1,1,0,0,0,2427,118,5
76,0,1,1,0,0,0,4888,400,5
77,1,3,0,0,0,0,20222,353,5
78,0,1,0,0,0,0,1389,26,5
79,0,1,1,0,0,0,1891,4,5
80,8,1,1,0,0,0,12835,35,6
81,0,0,0,0,0,1,71,11,5
82,1,1,1,0,0,0,6761,152,5
83,0,1,1,0,0,0,128,20,6
84,4,1,1,0,0,0,2712,57,5
85,9,1,0,0,0,0,20241,205,5
86,0,1,1,0,0,0,123,7,4
87,62,6,0,0,0,0,25522,64,5
88,0,0,0,0,0,1,203,22,7
89,0,0,0,0,0,9,936,1392,5
90,3,1,1,0,0,0,2279,10,4
