user,comments_on_posts_that_trolls_commented,comments_on_posts_that_trolls_started,direct_comment_reply_to_troll_post,thread_comment_reply_to_troll_comments,thread_comment_reply_to_troll_comments_in_troll_post,same_title_post_as_troll,total_comments,total_submissions,age
1,2,0,0,0,0,1,5,8,5
2,0,0,0,0,0,7,6,49,5
3,0,0,0,0,0,5,1,53,5
4,0,0,0,0,0,1,2,9,5
5,1,0,0,0,0,2,1,10,5
6,0,0,0,0,0,6,3,22,4
7,53,14,12,2,2,6,202,31,2
8,1,1,0,0,0,0,8,28,4
9,0,0,0,0,0,0,1,1,5
10,0,0,0,0,0,0,1,9,5
11,6,0,0,0,0,2,19,8,5
12,0,0,0,0,0,1,31,30,4
13,1,0,0,0,0,0,1,5,5
14,2,0,0,0,0,1,147,26,4
15,1,0,0,0,0,0,4,1,5
16,6,2,2,1,0,1,12,5,2
17,0,1,1,0,0,1,1,5,5
18,1,0,0,0,0,3,1,8,5
19,1,1,1,0,0,3,2,8,5
20,38,9,7,1,1,10,171,43,2
21,72,14,12,1,1,5,183,22,2
22,8,4,3,1,1,1,19,21,5
23,1,0,0,0,0,0,7,28,5
24,2,2,2,0,0,0,5,5,5
25,3,2,2,0,0,0,3,10,5
26,2,0,0,0,0,2,3,12,5
27,3,3,3,0,0,3,3,12,5
28,2,0,0,1,1,79,286,2619,4
29,0,0,0,0,0,0,6,9,5
30,13,3,3,0,0,58,336,580,4
31,0,0,0,0,0,1,1,9,5
32,0,0,0,0,0,1,3,6,5
33,0,0,0,0,0,0,4,5,5
34,0,0,0,0,0,2,2,10,5
35,0,0,0,0,0,0,1,2,3
36,1,0,0,0,0,1,11,27,5
37,7,6,4,1,1,36,351,423,4
38,1,0,0,0,0,4,4,25,5
39,1,1,1,0,0,4,8,19,5
40,1,1,0,0,0,8,6,119,5
41,1,2,0,0,0,2,7,17,4
42,4,0,0,1,0,89,320,1366,4
43,20,6,4,1,1,3,44,28,2
44,7,3,3,0,0,7,23,62,5
45,1,1,0,0,0,1,5,16,5
46,0,0,0,0,0,4,1,46,5
47,0,0,0,0,0,3,2,56,5
48,1,0,0,0,0,74,227,1357,4
49,17,4,3,0,0,2,31,15,2
50,0,0,0,0,0,3,1,6,4
51,0,0,0,0,0,0,23,8,2
52,0,0,0,0,0,8,2,33,4
53,0,0,0,0,0,0,8,11,5
54,0,0,0,0,0,0,13,11,5
55,0,0,0,0,0,0,1,0,4
56,0,0,0,0,0,0,8,16,5
57,1,0,0,0,0,0,31,6,2
58,1,2,1,0,0,1,12,37,5
59,16,1,1,2,2,0,47,19,5
60,0,0,0,0,0,0,15,54,5
61,1,0,0,0,0,0,1,3,5
62,0,0,0,0,0,0,5,15,5
63,0,0,0,0,0,6,6,180,4
64,1,1,1,0,0,0,3,7,5
65,0,0,0,0,0,0,2,0,2
66,0,0,0,0,0,0,10,6,2
67,9,1,1,2,0,0,46,37,5
68,0,0,0,0,0,0,8,46,5
69,3,0,0,0,0,0,14,26,5
